url,updated,lastChecked,diffSummary
https://energy.virginia.gov/gas-oil/gasoil.shtml,False,2025-08-18T04:49:36.574289Z,No change detected
https://energy.virginia.gov/gas-oil/PermitRequirements.shtml,True,2025-08-18T04:49:36.896878Z,Updated
https://www.energy.virginia.gov/dgoinquiry/frmmain.aspx,True,2025-08-18T04:49:37.186295Z,Updated
https://energy.virginia.gov/gas-oil/OwnerRights.shtml,False,2025-08-18T04:49:37.487767Z,No change detected
https://www.deq.virginia.gov/permits/air,False,2025-08-18T04:49:37.580276Z,
https://www.deq.virginia.gov/permits/air/forms,False,2025-08-18T04:49:37.665211Z,
https://www.deq.virginia.gov/permits/air/issued-title-v-permits,False,2025-08-18T04:49:37.805424Z,
https://www.deq.virginia.gov/permits/water/surface-waters-vpdes,False,2025-08-18T04:49:37.896008Z,
https://www.deq.virginia.gov/permits/water/ms4,False,2025-08-18T04:49:37.987907Z,
https://www.epa.gov/npdes-permits/virginia-npdes-permits,False,2025-08-18T04:49:38.138014Z,No change detected
https://www.scc.virginia.gov/regulated-industries/utility-railroad-safety/pipeline-safety/,False,2025-08-18T04:49:38.236697Z,No change detected
