url,updated,lastChecked,diffSummary
https://www.michigan.gov/egle/about/organization/geologic-resources-management/oil-and-gas,False,2025-08-18T04:42:24.243979Z,
https://www.michigan.gov/egle/about/organization/geologic-resources-management/oil-and-gas/forms,False,2025-08-18T04:42:24.329334Z,
https://www.deq.state.mi.us/dataminer/,False,2025-08-18T04:42:24.694004Z,No change detected
https://www.michigan.gov/egle/about/organization/air-quality/air-permits,False,2025-08-18T04:42:24.770223Z,
https://www.michigan.gov/egle/about/organization/air-quality/air-permits/new-source-review,False,2025-08-18T04:42:24.855139Z,
https://www.egle.state.mi.us/aps/,False,2025-08-18T04:42:25.112724Z,No change detected
https://www.michigan.gov/egle/about/organization/water-resources/npdes,False,2025-08-18T04:42:25.188037Z,
https://www.michigan.gov/egle/about/organization/water-resources/npdes/general-permits,False,2025-08-18T04:42:25.267110Z,
https://www.epa.gov/npdes-permits/michigan-npdes-permits,False,2025-08-18T04:42:25.384855Z,No change detected
https://www.michigan.gov/mpsc/regulatory/natural-gas/pipeline-safety,False,2025-08-18T04:42:25.459360Z,
https://www.michigan.gov/dnr/managing-resources/minerals/oil-and-gas,False,2025-08-18T04:42:25.553640Z,
https://www.michigan.gov/dnr/faqs/minerals/oil-and-gas-leasing,False,2025-08-18T04:42:25.636363Z,
