url,updated,lastChecked,diffSummary
https://www.mass.gov/orgs/pipeline-safety-division,False,2025-08-18T04:42:13.378328Z,No change detected
https://www.mass.gov/regulations/220-CMR-10100-massachusetts-natural-gas-pipeline-safety-code,False,2025-08-18T04:42:13.589422Z,No change detected
https://www.mass.gov/air-climate-permitting-reporting,False,2025-08-18T04:42:13.787586Z,No change detected
https://www.mass.gov/guides/massdep-operating-permit-compliance-program,False,2025-08-18T04:42:13.951547Z,No change detected
https://www.mass.gov/guides/massdep-air-plan-applications,False,2025-08-18T04:42:14.139099Z,No change detected
https://www.epa.gov/npdes-permits/massachusetts-npdes-permits,False,2025-08-18T04:42:14.251647Z,No change detected
https://www.mass.gov/guides/npdes-permits-what-you-need-to-know,False,2025-08-18T04:42:14.403533Z,No change detected
https://www.mass.gov/orgs/massachusetts-office-of-coastal-zone-management-czm,False,2025-08-18T04:42:14.557010Z,No change detected
https://www.mass.gov/federal-consistency-review-program,False,2025-08-18T04:42:14.699323Z,No change detected
https://www.mass.gov/orgs/energy-facilities-siting-board,False,2025-08-18T04:42:14.832624Z,No change detected
