url,updated,lastChecked,diffSummary
https://www.floridapsc.com/pscfiles/website-files/PDF/Utilities/Electricgas/GasSafety//RuleBookletCh25-2025.pdf,True,2025-08-18T04:28:44.000985Z,Updated
https://www.floridapsc.com/pscfiles/website-files/PDF/Publications/Reports/ElectricGas/Pipeline/2023.pdf,True,2025-08-18T04:28:45.031614Z,Updated
https://floridadep.gov/air/permitting-compliance/content/air-permit-application,False,2025-08-18T04:28:45.657670Z,No change detected
https://floridadep.gov/air/permitting-compliance/documents/air-construction-permits,False,2025-08-18T04:28:46.158613Z,No change detected
https://floridadep.gov/air/permitting-compliance/documents/air-operation-permits,False,2025-08-18T04:28:46.633059Z,No change detected
https://www.epa.gov/caa-permitting/clean-air-act-permitting-florida,False,2025-08-18T04:28:46.777797Z,No change detected
https://floridadep.gov/air/air-director/content/how-find-air-documents-online,False,2025-08-18T04:28:47.402739Z,No change detected
https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal,False,2025-08-18T04:28:48.088274Z,No change detected
https://www.epa.gov/npdes-permits/florida-npdes-permits,False,2025-08-18T04:28:48.201152Z,No change detected
https://floridadep.gov/water/industrial-wastewater,False,2025-08-18T04:28:48.626826Z,No change detected
https://floridadep.gov/water/stormwater,False,2025-08-18T04:28:49.211922Z,No change detected
https://floridadep.gov/rcp/fcmp/content/federal-consistency-intergovernmental-coordination-and-review,False,2025-08-18T04:28:49.707702Z,No change detected
https://floridadep.gov/rcp/fcmp/content/about-florida-coastal-management-program,False,2025-08-18T04:28:50.286354Z,No change detected
https://floridadep.gov/air/air-director/content/local-program-air-contacts,False,2025-08-18T04:28:50.925589Z,No change detected
