url,updated,lastChecked,diffSummary
https://www.conservation.ca.gov/calgem,False,2025-08-18T04:26:00.523997Z,No change detected
https://www.energy.ca.gov,False,2025-08-18T04:26:01.130371Z,No change detected
https://www.cpuc.ca.gov,False,2025-08-18T04:26:02.341034Z,No change detected
https://ww2.arb.ca.gov,False,2025-08-18T04:26:02.556782Z,No change detected
https://calepa.ca.gov,False,2025-08-18T04:26:02.695197Z,
https://www.slc.ca.gov/oil-gas,False,2025-08-18T04:26:03.030815Z,
https://www.dir.ca.gov/dosh/,True,2025-08-18T04:26:03.386453Z,Updated
https://www.waterboards.ca.gov,False,2025-08-18T04:26:03.709048Z,No change detected
https://osfm.fire.ca.gov/divisions/pipeline-safety-division/,False,2025-08-18T04:26:03.847386Z,
http://www.aqmd.gov,False,2025-08-18T04:26:04.480510Z,No change detected
https://www.baaqmd.gov,False,2025-08-18T04:26:04.982306Z,No change detected
https://www.valleyair.org,False,2025-08-18T04:26:05.408283Z,No change detected
http://www.airquality.org,False,2025-08-18T04:26:05.932480Z,No change detected
https://www.sdapcd.org,False,2025-08-18T04:26:06.972697Z,No change detected
https://www.vcapcd.org,False,2025-08-18T04:26:07.154005Z,No change detected
https://www.ourair.org,False,2025-08-18T04:26:07.320060Z,
https://www.mbard.org,False,2025-08-18T04:26:08.623246Z,No change detected
https://www.mdaqmd.ca.gov,False,2025-08-18T04:26:08.709001Z,
