url,updated,lastChecked,diffSummary
https://azogcc.az.gov/,False,2025-08-18T04:24:31.519566Z,No change detected
https://azogcc.az.gov/permits,False,2025-08-18T04:24:31.866678Z,No change detected
https://azcc.gov/safety/pipeline-safety/pipeline,False,2025-08-18T04:24:32.203133Z,No change detected
https://azdeq.gov/air-permits-comp,False,2025-08-18T04:24:32.298502Z,
https://azdeq.gov/permits/AZPDES/IND,False,2025-08-18T04:24:32.393018Z,
https://azdeq.gov/SWPPermitting,False,2025-08-18T04:24:32.479286Z,
https://land.az.gov/applications-permits,False,2025-08-18T04:24:32.564593Z,
https://www.maricopa.gov/1818/Permits-Forms-and-Payments,False,2025-08-18T04:24:32.886605Z,No change detected
https://www.pima.gov/439/Air-Quality-Permits,False,2025-08-18T04:24:33.134493Z,No change detected
https://www.pinal.gov/1255/Permitting,False,2025-08-18T04:24:33.304460Z,No change detected
